epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1312,2.39678,4.07809,1.70173,0.21534,0.29054,0.13279,0.06358,2.69401,3.38456,2.6026,0,0,0
2,106.106,2.28493,4.10349,1.71618,0.23183,0.29054,0.14031,0.06858,2.7027,3.38233,2.59803,1.22525e-05,1.22525e-05,1.22525e-05
3,152.585,2.24147,4.0311,1.74845,0.23182,0.29054,0.14082,0.06821,2.71007,3.38271,2.59438,2.401e-05,2.401e-05,2.401e-05
4,199.813,2.48251,3.90795,2.15465,0.23318,0.29392,0.14292,0.06522,2.72525,3.36774,2.61219,3.52725e-05,3.52725e-05,3.52725e-05
5,245.583,2.09494,3.77727,1.72247,0.20416,0.29392,0.13062,0.05944,2.71137,3.36438,2.60536,4.604e-05,4.604e-05,4.604e-05
6,295.48,2.46008,4.06403,1.78115,0.68745,0.13514,0.17084,0.06787,2.47142,2.15199,2.45614,5.63125e-05,5.63125e-05,5.63125e-05
7,342.86,1.65746,2.55924,1.33535,0.46895,0.18581,0.23255,0.08221,2.31485,1.41674,2.3619,6.609e-05,6.609e-05,6.609e-05
8,390.722,1.65103,1.45759,1.38962,0.73619,0.25,0.27062,0.11053,2.08992,2.29868,2.13091,7.53725e-05,7.53725e-05,7.53725e-05
9,437.419,1.57402,1.10398,1.25136,0.73889,0.25,0.37356,0.15877,2.01056,2.24401,2.02195,8.416e-05,8.416e-05,8.416e-05
10,483.067,1.50876,1.29569,1.24806,0.5845,0.375,0.38075,0.14943,1.96295,1.26646,1.90917,9.24525e-05,9.24525e-05,9.24525e-05
11,527.917,1.42299,0.93303,1.15192,0.55703,0.625,0.3805,0.16671,1.95957,1.26307,1.85135,0.00010025,0.00010025,0.00010025
12,576.288,1.51077,0.89751,1.20897,0.70015,0.625,0.54666,0.25716,1.88096,1.34834,1.7955,0.000107553,0.000107553,0.000107553
